scenario,replicate,n,sea_arrival_rate,disorientation_rate,predation_rate,exhaustion_rate,censored_rate,median_time_to_sea_s,median_path_length_m,median_efficiency,mean_abs_initial_heading_deg,median_max_landward_m
baseline,0,30.0,0.7666666666666667,0.8333333333333334,0.13333333333333333,0.0,0.1,645.0,78.33326112068525,0.4721994683101037,43.935909727990584,0.0
baseline,1,30.0,0.7,0.8666666666666667,0.16666666666666666,0.0,0.13333333333333333,755.0,94.04341622907683,0.38295777061288105,54.466321845959946,0.0
baseline,2,30.0,0.5333333333333333,0.9666666666666667,0.26666666666666666,0.0,0.2,812.5,97.01828996322973,0.3762598769805916,48.704130338172526,0.0
baseline,3,30.0,0.7,0.9333333333333333,0.16666666666666666,0.0,0.13333333333333333,770.0,92.72234841721135,0.39882538746942175,51.7692910096817,0.0
baseline,4,30.0,0.6,0.8333333333333334,0.16666666666666666,0.0,0.23333333333333334,622.5,79.86879502661799,0.46342484120843885,53.11050871900636,0.0
baseline,5,30.0,0.6666666666666666,0.9333333333333333,0.13333333333333333,0.0,0.2,712.5,93.0759018078046,0.38685457122957756,48.7663623944544,0.0
baseline,6,30.0,0.7666666666666667,0.9333333333333333,0.16666666666666666,0.0,0.06666666666666667,615.0,81.229707730092,0.44937458153869037,38.540656859935225,0.0
baseline,7,30.0,0.5666666666666667,0.8666666666666667,0.26666666666666666,0.0,0.16666666666666666,670.0,78.33326112068525,0.4722198078381835,43.57343536474771,0.0
lights_off,0,30.0,0.9666666666666667,0.26666666666666666,0.03333333333333333,0.0,0.0,450.0,52.3198051533946,0.7190382454331345,20.518076177918395,0.0
lights_off,1,30.0,0.9333333333333333,0.13333333333333333,0.06666666666666667,0.0,0.0,427.5,49.887824638055136,0.7188597772048713,16.175127723403683,0.0
lights_off,2,30.0,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.0,0.0,430.0,49.498737341529136,0.7534549732351936,17.555863303497677,0.0
lights_off,3,30.0,0.9666666666666667,0.23333333333333334,0.03333333333333333,0.0,0.0,410.0,47.748737341529136,0.7593764470520412,16.90421069624058,0.0
lights_off,4,30.0,0.9666666666666667,0.1,0.03333333333333333,0.0,0.0,415.0,47.852290732122405,0.7625645625764511,13.852119195800048,0.0
lights_off,5,30.0,0.9666666666666667,0.16666666666666666,0.03333333333333333,0.0,0.0,430.0,49.870057685088774,0.7495695497422135,15.80986407886091,0.0
lights_off,6,30.0,1.0,0.16666666666666666,0.0,0.0,0.0,425.0,49.80939751330895,0.7452855544614143,16.67787218295811,0.0
lights_off,7,30.0,0.9333333333333333,0.13333333333333333,0.06666666666666667,0.0,0.0,422.5,48.852290732122405,0.7684881348462969,14.41826316062704,0.0
shielded_70pct,0,30.0,0.9,0.36666666666666664,0.1,0.0,0.0,485.0,54.605339059327335,0.6783134136541302,22.57471871161949,0.0
shielded_70pct,1,30.0,0.9,0.3,0.1,0.0,0.0,465.0,52.62005768508878,0.6993525106652116,19.735916108738415,0.0
shielded_70pct,2,30.0,0.9333333333333333,0.3,0.06666666666666667,0.0,0.0,475.0,55.637824638055136,0.6552951269091608,18.18080838652026,0.0
shielded_70pct,3,30.0,0.8666666666666667,0.36666666666666664,0.13333333333333333,0.0,0.0,475.0,53.68071785686859,0.6815980875344118,24.16102083813991,0.0
shielded_70pct,4,30.0,0.9333333333333333,0.4,0.06666666666666667,0.0,0.0,455.0,54.33021279348024,0.6738393658490353,20.693402170634272,0.0
shielded_70pct,5,30.0,0.9,0.3333333333333333,0.1,0.0,0.0,465.0,55.39823227814078,0.674708321625088,18.426516739592223,0.0
