scenario,replicate,turtle_id,step,time_s,x_m,y_m,outcome
baseline,0,12,4,20.0,7.5,400.0,active
baseline,0,13,4,20.0,9.5,100.5,active
baseline,0,14,4,20.0,10.0,401.0,active
baseline,0,15,4,20.0,9.5,99.0,active
baseline,0,16,4,20.0,9.5,601.5,active
baseline,0,17,4,20.0,9.5,98.5,active
baseline,0,18,4,20.0,8.0,198.5,active
baseline,0,19,4,20.0,9.5,700.5,active
baseline,0,20,4,20.0,9.5,400.0,active
baseline,0,21,4,20.0,10.0,200.0,active
baseline,0,22,4,20.0,10.0,0.5,active
baseline,0,23,4,20.0,9.5,798.0,active
baseline,0,24,4,20.0,9.5,502.0,active
baseline,0,25,4,20.0,11.0,799.5,active
baseline,0,26,4,20.0,8.0,98.0,active
baseline,0,27,4,20.0,10.5,100.5,active
baseline,0,28,4,20.0,10.0,598.5,active
baseline,0,29,4,20.0,9.0,198.5,active
baseline,0,0,5,25.0,6.5,398.0,active
baseline,0,1,5,25.0,10.0,99.5,active
baseline,0,2,5,25.0,10.0,98.0,active
baseline,0,3,5,25.0,9.0,598.5,active
baseline,0,4,5,25.0,10.0,0.5,active
baseline,0,5,5,25.0,10.5,99.0,active
baseline,0,6,5,25.0,9.0,798.0,active
baseline,0,7,5,25.0,9.5,599.5,active
baseline,0,8,5,25.0,10.5,197.5,active
baseline,0,9,5,25.0,6.5,399.0,active
baseline,0,10,5,25.0,10.5,199.5,active
baseline,0,11,5,25.0,10.5,697.5,active
baseline,0,12,5,25.0,7.0,400.0,active
baseline,0,13,5,25.0,10.0,100.5,active
baseline,0,14,5,25.0,10.5,401.5,active
baseline,0,15,5,25.0,10.0,99.0,active
baseline,0,16,5,25.0,9.5,602.0,active
baseline,0,17,5,25.0,10.0,98.5,active
baseline,0,18,5,25.0,8.5,198.0,active
baseline,0,19,5,25.0,10.0,700.5,active
baseline,0,20,5,25.0,10.0,399.5,active
baseline,0,21,5,25.0,10.5,200.0,active
baseline,0,22,5,25.0,10.5,0.0,active
baseline,0,23,5,25.0,10.0,798.0,active
baseline,0,24,5,25.0,9.5,502.5,active
baseline,0,25,5,25.0,11.5,799.0,active
baseline,0,26,5,25.0,8.5,97.5,active
baseline,0,27,5,25.0,11.0,100.0,active
baseline,0,28,5,25.0,10.5,598.5,active
baseline,0,29,5,25.0,9.0,198.0,active
baseline,0,0,6,30.0,6.0,398.0,active
baseline,0,1,6,30.0,10.5,99.0,active
baseline,0,2,6,30.0,10.0,98.5,active
baseline,0,3,6,30.0,9.5,598.0,active
baseline,0,4,6,30.0,10.0,0.0,active
baseline,0,5,6,30.0,11.0,99.0,active
