scenario,replicate,turtle_id,nest_id,outcome,arrival_sea,disoriented,time_s,path_length_m,direct_distance_m,efficiency,initial_heading_deg,abs_initial_heading_deg,max_landward_displacement_m,landward_step_fraction,remaining_energy,start_x_m,start_y_m,end_x_m,end_y_m
baseline,1,1,N4,sea,1,1,770.0,91.94722215136426,37.5,0.4078426636779434,-41.18592516570965,41.18592516570965,0.0,0.08552631578947369,0.6563861344608908,7.5,300.0,46.0,248.0
baseline,1,2,N2,sea,1,1,785.0,92.68986283848355,36.5,0.3937863201243805,-63.43494882292201,63.43494882292201,0.0,0.11258278145695365,0.794364463716759,8.0,100.0,44.0,49.0
baseline,1,3,N5,predated,0,1,1670.0,192.2731239591692,39.5,0.2054369283997703,-119.05460409907714,119.05460409907714,5.5,0.2608695652173913,0.25463843581240403,8.0,400.0,22.0,293.5
baseline,1,4,N6,censored,0,1,1800.0,214.22896808188506,38.5,0.17971425780888833,-123.6900675259798,123.6900675259798,5.5,0.3646723646723647,0.2467552181610494,8.0,500.0,4.5,379.5
baseline,1,5,N5,sea,1,1,1765.0,212.15790027001958,39.5,0.18618208395599312,-101.30993247402021,101.30993247402021,5.5,0.23646723646723647,0.3015647022581156,8.0,400.0,45.5,270.5
baseline,1,6,N8,predated,0,1,120.0,14.485281374238573,37.99,2.6226622057589797,-48.81407483429036,48.81407483429036,0.0,0.0,0.8133458289697618,7.5,700.5,16.5,693.5
baseline,1,7,N5,predated,0,1,1515.0,181.0660171779826,38.9875,0.21532201684028002,-131.18592516570965,131.18592516570965,6.5,0.2866666666666667,0.2795348063071157,8.5,399.5,18.0,296.0
baseline,1,8,N7,sea,1,1,865.0,103.76093065034907,36.0075,0.34702368005292045,-21.80140948635181,21.80140948635181,0.0,0.15976331360946747,0.6211887287032072,8.0,600.5,45.5,549.0
baseline,1,9,N5,sea,1,1,1445.0,174.22287142747498,38.9875,0.2237794594966804,11.309932474020213,11.309932474020213,1.0,0.24734982332155478,0.42913316649316224,8.5,399.5,46.0,326.5
baseline,1,10,N8,sea,1,0,525.0,61.26955262170043,37.0,0.603888855341427,-11.309932474020213,11.309932474020213,0.0,0.039603960396039604,0.7687801976468768,8.5,700.0,45.5,689.5
baseline,1,11,N3,sea,1,1,575.0,69.54772721475246,37.9925,0.5462795338039607,-36.86989764584402,36.86989764584402,0.0,0.07079646017699115,0.8505077571621918,8.0,199.5,45.5,161.0
baseline,1,12,N4,sea,1,1,1245.0,142.90306627408012,37.0,0.2589167676013058,-101.30993247402021,101.30993247402021,1.5,0.200836820083682,0.5020248846083571,8.0,300.0,46.0,233.0
baseline,1,13,N4,sea,1,1,1295.0,151.7314933988264,36.5125,0.24063890219564937,-63.43494882292201,63.43494882292201,0.0,0.1411764705882353,0.6123465060615058,8.5,300.5,46.0,193.0
baseline,1,14,N9,sea,1,1,645.0,75.92640687119284,35.0,0.4609726897701953,-16.69924423399362,16.69924423399362,0.0,0.11811023622047244,0.6390567493558529,8.5,800.0,44.5,773.5
baseline,1,15,N7,censored,0,1,1800.0,212.7792206135792,36.0,0.16918945325670837,-68.19859051364818,68.19859051364818,0.0,0.33618233618233617,0.32837176531685625,8.0,600.0,9.0,516.5
baseline,1,16,N2,sea,1,1,605.0,71.18376618407356,36.9925,0.5196760719900851,-73.30075576600639,73.30075576600639,0.5,0.05,0.8450538988164249,7.5,99.5,44.0,58.0
baseline,1,17,N4,sea,1,1,745.0,86.91168824543148,36.5,0.41996652851716554,-53.13010235415598,53.13010235415598,0.0,0.09027777777777778,0.826772417608996,8.5,300.0,45.5,261.0
baseline,1,18,N5,censored,0,1,1800.0,208.12236636408682,39.495,0.18976816711236077,-73.30075576600639,73.30075576600639,8.0,0.3101449275362319,0.21770309326533152,8.0,400.5,13.5,273.5
baseline,1,19,N4,predated,0,1,1020.0,123.45331880577429,37.005,0.2997489282424149,-53.13010235415598,53.13010235415598,0.0,0.26108374384236455,0.5962292927342341,8.0,299.5,29.5,259.5
baseline,1,20,N9,sea,1,1,800.0,95.3969696196701,35.5,0.37212922110138164,-68.19859051364818,68.19859051364818,0.0,0.15384615384615385,0.6102003148466982,8.0,800.0,44.5,768.5
baseline,1,21,N7,sea,1,1,660.0,76.18376618407355,36.0075,0.4726400623592101,-21.80140948635181,21.80140948635181,0.0,0.06923076923076923,0.5890803511359299,8.0,600.5,45.0,567.5
baseline,1,22,N2,sea,1,0,545.0,62.23401871576769,36.5,0.5864959511405025,11.309932474020213,11.309932474020213,0.0,0.0380952380952381,0.7623945914472804,8.0,100.0,44.5,82.5
baseline,1,23,N7,censored,0,1,1800.0,215.40054095713884,36.0,0.16713049948729425,-138.81407483429035,138.81407483429035,4.0,0.24225352112676057,0.43792376702796704,8.0,600.0,39.0,511.0
baseline,1,24,N8,predated,0,1,430.0,49.07716446627532,37.5,0.7641028247621992,-36.86989764584402,36.86989764584402,0.0,0.10975609756097561,0.8483264186589725,8.0,700.0,31.0,681.5
baseline,1,25,N1,sea,1,0,480.0,57.85533905932733,34.5,0.5963148874578754,5.710593137499642,5.710593137499642,0.0,0.010526315789473684,0.9355426685835768,8.5,0.0,43.0,0.0
baseline,1,26,N4,sea,1,1,1135.0,132.9533188057743,37.0,0.27829316584455993,-48.81407483429036,48.81407483429036,0.0,0.14864864864864866,0.6136082392280701,8.0,300.0,46.0,227.0
baseline,1,27,N9,sea,1,1,755.0,87.82590180780458,36.0,0.4099018542249786,-45.0,45.0,0.0,0.10344827586206896,0.6171662260144056,7.5,800.0,45.0,748.0
baseline,1,28,N4,sea,1,1,1000.0,114.26093065034907,37.0,0.3238202226203114,0.0,0.0,0.0,0.17894736842105263,0.631080457578701,8.0,300.0,45.5,273.0
baseline,1,29,N2,sea,1,1,490.0,59.355339059327335,36.0,0.6065166263142223,-45.0,45.0,0.0,0.030612244897959183,0.8245922725223115,8.5,100.0,44.0,66.5
baseline,2,0,N4,sea,1,1,1305.0,153.59545442950537,37.5,0.24414785020354304,-45.0,45.0,0.0,0.1803921568627451,0.3519973475667917,7.5,300.0,46.0,216.0
baseline,2,1,N4,sea,1,1,800.0,96.76093065034904,37.005,0.38243741302695416,-5.710593137499642,5.710593137499642,0.0,0.16774193548387098,0.674069371707759,8.0,299.5,45.5,276.0
baseline,2,2,N1,sea,1,1,550.0,67.42640687119282,35.5,0.5264999522785927,5.710593137499642,5.710593137499642,0.0,0.02727272727272727,0.9021209593363804,7.5,0.0,43.5,0.0
baseline,2,3,N5,censored,0,1,1800.0,210.75840533340786,39.5,0.18741838522413015,-90.0,90.0,5.0,0.24858757062146894,0.2899309897044949,8.0,400.0,27.0,272.5
baseline,2,4,N7,sea,1,1,905.0,104.94722215136429,36.0075,0.34310102984971586,-21.80140948635181,21.80140948635181,0.0,0.16853932584269662,0.6133990020093704,8.0,600.5,45.0,561.0
baseline,2,5,N3,predated,0,1,625.0,77.41168824543144,37.9925,0.49078505922188287,-45.0,45.0,0.0,0.072,0.7586829850254916,8.0,199.5,44.0,147.0
baseline,2,6,N8,sea,1,1,910.0,106.18986283848359,37.0,0.34843250580592205,-68.19859051364818,68.19859051364818,0.0,0.12359550561797752,0.6142840138082676,8.5,700.0,45.0,662.0
baseline,2,7,N6,predated,0,1,900.0,108.79646455628182,38.4875,0.3537568997022869,-16.69924423399362,16.69924423399362,0.0,0.23163841807909605,0.4560645149922655,8.0,500.5,37.0,497.0
baseline,2,8,N4,sea,1,1,525.0,62.062445840513874,37.0,0.5961737327446205,-48.81407483429036,48.81407483429036,0.0,0.02912621359223301,0.7075041649343663,8.0,300.0,45.5,273.5
baseline,2,9,N4,sea,1,1,985.0,115.46803743153566,37.0,0.32043499502568723,11.309932474020213,11.309932474020213,0.0,0.13541666666666666,0.6602593008290115,8.0,300.0,46.0,245.0
baseline,2,10,N5,predated,0,1,745.0,86.04772721475257,39.495,0.45898946176034183,-73.30075576600639,73.30075576600639,7.5,0.3082191780821918,0.6510109303410223,8.0,400.5,5.5,341.5
baseline,2,11,N4,sea,1,1,1685.0,200.0365799264599,36.5,0.18246662692102922,-84.28940686250037,84.28940686250037,6.0,0.25609756097560976,0.4185511633386345,8.5,300.0,46.0,208.5
baseline,2,12,N9,predated,0,1,430.0,49.198484809834966,35.5,0.7215669372180221,-78.69006752597979,78.69006752597979,0.0,0.14814814814814814,0.8377523141395523,8.0,800.0,29.5,779.0
baseline,2,13,N5,censored,0,1,1800.0,207.3294731452733,39.5,0.1905180165693221,-78.69006752597979,78.69006752597979,4.5,0.3119533527696793,0.3228468239817393,8.0,400.0,20.0,301.0
baseline,2,14,N1,predated,0,0,25.0,2.5,35.0,14.0,0.0,0.0,0.0,0.0,0.9298044754636644,8.0,0.0,10.5,0.0
