scenario,replicate,turtle_id,nest_id,outcome,arrival_sea,disoriented,time_s,path_length_m,direct_distance_m,efficiency,initial_heading_deg,abs_initial_heading_deg,max_landward_displacement_m,landward_step_fraction,remaining_energy,start_x_m,start_y_m,end_x_m,end_y_m
lights_off,3,18,N8,sea,1,0,480.0,55.905591591021505,38.0,0.6797173398680721,5.710593137499642,5.710593137499642,0.0,0.0425531914893617,0.7944901092393162,7.5,700.0,45.5,711.5
lights_off,3,19,N6,sea,1,0,410.0,47.04163056034259,38.505,0.8185303005304582,5.710593137499642,5.710593137499642,0.0,0.0,0.8959256145000735,8.0,499.5,46.5,501.0
lights_off,3,20,N2,sea,1,0,385.0,45.45584412271568,37.5075,0.8251414251320954,16.69924423399362,16.69924423399362,0.0,0.0,0.7508176136615761,7.0,100.5,45.0,100.5
lights_off,3,21,N9,sea,1,1,565.0,65.06244584051387,35.5,0.5456296568841011,-11.309932474020213,11.309932474020213,0.0,0.09174311926605505,0.7798793233141902,8.0,800.0,44.0,788.0
lights_off,3,22,N2,sea,1,0,380.0,46.698484809834966,36.4925,0.7814493371381178,11.309932474020213,11.309932474020213,0.0,0.0,0.7060165130948384,8.0,99.5,45.0,104.5
lights_off,3,23,N7,sea,1,0,405.0,47.955844122715675,36.0075,0.7508469647173618,0.0,0.0,0.0,0.012345679012345678,0.7894737910630141,8.0,600.5,44.5,599.5
lights_off,3,24,N7,sea,1,0,385.0,45.95584412271568,36.0,0.7833606516696628,-5.710593137499642,5.710593137499642,0.0,0.0,0.7005785153256171,8.0,600.0,44.5,602.0
lights_off,3,25,N8,sea,1,0,435.0,52.7340187157677,37.5,0.7111159155558031,16.69924423399362,16.69924423399362,0.0,0.023255813953488372,0.7452150221365522,8.0,700.0,45.5,693.0
lights_off,3,26,N5,sea,1,1,560.0,64.44112549695423,39.5,0.6129626026141791,36.86989764584402,36.86989764584402,0.0,0.09174311926605505,0.8800869442584336,8.0,400.0,47.5,414.0
lights_off,3,27,N2,sea,1,0,385.0,43.17766952966367,35.985,0.8334169118432341,-5.710593137499642,5.710593137499642,0.0,0.0,0.8312390476722386,8.5,99.0,44.5,93.5
lights_off,3,28,N2,sea,1,1,410.0,47.54163056034259,36.5075,0.7679059293867208,-36.86989764584402,36.86989764584402,0.0,0.012345679012345678,0.8307124817482417,8.0,100.5,44.5,93.5
lights_off,3,29,N3,sea,1,0,500.0,58.76955262170043,37.995,0.6465082394717855,-5.710593137499642,5.710593137499642,0.0,0.052083333333333336,0.8290698756658849,8.0,200.5,46.0,199.5
lights_off,4,0,N8,sea,1,0,420.0,49.870057685088774,38.5,0.7720063257819644,-16.69924423399362,16.69924423399362,0.0,0.0,0.8867773671458804,7.0,700.0,45.5,699.5
lights_off,4,1,N7,sea,1,0,425.0,52.14823227814079,36.0125,0.6905794966916937,5.710593137499642,5.710593137499642,0.0,0.011904761904761904,0.9944228616431678,8.0,599.5,44.5,608.5
lights_off,4,2,N6,sea,1,0,510.0,60.76955262170042,38.5,0.6335409483704492,-21.80140948635181,21.80140948635181,0.0,0.04,0.8668123782356688,8.0,500.0,47.0,490.0
lights_off,4,3,N7,sea,1,0,515.0,59.07716446627532,36.0125,0.609584097770265,29.054604099077146,29.054604099077146,0.0,0.049019607843137254,0.8102781510202476,8.0,599.5,44.5,591.5
lights_off,4,4,N1,sea,1,0,380.0,44.6274169979695,35.5,0.7954751224256429,5.710593137499642,5.710593137499642,0.0,0.0,0.7284640648279894,7.5,0.0,43.5,7.0
lights_off,4,5,N7,sea,1,0,370.0,46.52691193458115,36.0075,0.773906939077068,29.054604099077146,29.054604099077146,0.0,0.0,0.7712394637584615,8.0,600.5,44.5,587.0
lights_off,4,6,N2,sea,1,0,395.0,44.50609665440985,36.0075,0.8090464611983047,16.69924423399362,16.69924423399362,0.0,0.0,0.8017850747841371,8.5,100.5,45.0,104.0
lights_off,4,7,N7,sea,1,0,480.0,55.73401871576769,35.5,0.6369538895273796,-5.710593137499642,5.710593137499642,0.0,0.043478260869565216,0.6920725983722924,8.5,600.0,44.0,600.0
lights_off,4,8,N5,sea,1,0,555.0,66.18376618407352,39.5,0.5968230923900685,11.309932474020213,11.309932474020213,0.0,0.045454545454545456,0.8081080495474425,8.0,400.0,47.5,402.5
lights_off,4,9,N7,sea,1,1,405.0,47.248737341529136,36.0,0.7619251227769405,-33.690067525979785,33.690067525979785,0.0,0.0,0.8920017857673531,8.0,600.0,44.5,596.0
lights_off,4,10,N1,sea,1,0,400.0,47.870057685088774,35.5075,0.7417475916487222,-5.710593137499642,5.710593137499642,0.0,0.0125,0.8294152041161866,7.5,0.5,43.5,6.5
lights_off,4,11,N8,sea,1,1,600.0,71.75483399593902,37.5,0.5226128737489981,-16.69924423399362,16.69924423399362,0.0,0.11965811965811966,0.7250974773831693,8.0,700.0,45.5,691.0
lights_off,4,12,N5,sea,1,0,460.0,53.57716446627533,39.5,0.7372543954778283,-16.69924423399362,16.69924423399362,0.0,0.01098901098901099,0.8574077702272931,8.0,400.0,47.5,406.5
lights_off,4,13,N8,sea,1,0,475.0,54.455844122715675,37.49,0.688447688286985,11.309932474020213,11.309932474020213,0.0,0.0425531914893617,0.8103706713168821,8.0,700.5,45.5,701.0
lights_off,4,14,N1,sea,1,0,365.0,42.92031021678295,35.0,0.8154647490482045,11.309932474020213,11.309932474020213,0.0,0.0,0.877523339013162,8.0,0.0,43.5,5.5
lights_off,4,15,N7,sea,1,0,505.0,58.3198051533946,36.0125,0.6175003483855748,5.710593137499642,5.710593137499642,0.0,0.07142857142857142,0.9119557213525611,8.0,599.5,44.5,595.5
lights_off,4,16,N7,sea,1,0,395.0,45.7132034355964,36.5,0.7984564033326491,0.0,0.0,0.0,0.0,0.860386698557574,7.5,600.0,44.5,598.5
lights_off,4,17,N7,sea,1,0,410.0,50.441125496954236,35.5,0.7037907986835777,5.710593137499642,5.710593137499642,0.0,0.0,0.786818419698267,8.5,600.0,44.5,585.5
lights_off,4,18,N6,predated,0,1,130.0,15.278174593052025,38.5,2.5199345488242058,36.86989764584402,36.86989764584402,0.0,0.15384615384615385,0.9638585694616932,8.0,500.0,14.5,503.0
lights_off,4,19,N1,sea,1,0,360.0,42.42031021678295,35.0,0.825076474479736,0.0,0.0,0.0,0.0,0.9739804174363041,8.0,0.0,43.5,0.0
lights_off,4,20,N5,sea,1,0,405.0,46.95584412271569,39.5,0.841215843053947,-16.69924423399362,16.69924423399362,0.0,0.0,0.7575870519998144,8.0,400.0,47.5,403.0
lights_off,4,21,N6,sea,1,0,475.0,54.870057685088774,39.0,0.7107701658312354,5.710593137499642,5.710593137499642,0.0,0.031914893617021274,0.8055336899382372,7.5,500.0,46.5,511.0
lights_off,4,22,N7,sea,1,0,460.0,50.50609665440985,36.0,0.7127852355396133,-11.309932474020213,11.309932474020213,0.0,0.011235955056179775,0.9172082871584547,8.0,600.0,44.5,592.5
lights_off,4,23,N2,sea,1,0,395.0,46.455844122715675,36.0,0.7749294126462112,-29.054604099077146,29.054604099077146,0.0,0.0,0.8806483801860365,8.5,100.0,45.0,110.5
lights_off,4,24,N2,sea,1,0,415.0,47.83452377915604,36.5075,0.7632040023759618,11.309932474020213,11.309932474020213,0.0,0.0,0.8896834340275809,8.0,100.5,44.5,95.5
lights_off,4,25,N7,sea,1,0,395.0,47.07716446627532,36.0125,0.7649674828185178,11.309932474020213,11.309932474020213,0.0,0.0,1.0755534183758713,8.0,599.5,44.5,609.5
lights_off,4,26,N1,sea,1,0,375.0,42.677669529663675,35.5,0.8318167414302053,0.0,0.0,0.0,0.0,0.9320724885834705,7.5,0.0,43.5,5.0
lights_off,4,27,N8,sea,1,0,475.0,54.57716446627532,37.4925,0.686963134978689,-16.69924423399362,16.69924423399362,0.0,0.021505376344086023,0.8302254869644072,8.0,699.5,45.5,699.0
lights_off,4,28,N3,sea,1,0,400.0,47.78427124746187,37.9925,0.7950838007604444,16.69924423399362,16.69924423399362,0.0,0.0,0.8173398816647408,8.0,199.5,46.0,212.0
lights_off,4,29,N2,sea,1,0,415.0,46.2132034355964,36.4925,0.7896552778657001,-11.309932474020213,11.309932474020213,0.0,0.0125,0.8485350639934683,8.0,99.5,44.5,92.0
lights_off,5,0,N2,sea,1,0,440.0,50.748737341529136,36.5075,0.7193775040019542,-29.054604099077146,29.054604099077146,0.0,0.022988505747126436,0.9673360634219487,8.0,100.5,45.0,108.5
lights_off,5,1,N6,sea,1,0,410.0,48.248737341529136,38.0,0.7875853772300122,-21.80140948635181,21.80140948635181,0.0,0.012195121951219513,0.8376172184928601,8.5,500.0,46.5,500.5
lights_off,5,2,N3,sea,1,0,445.0,49.54163056034259,38.5,0.7771241996790217,11.309932474020213,11.309932474020213,0.0,0.023529411764705882,0.8882691640022915,7.5,200.0,46.0,205.0
lights_off,5,3,N6,sea,1,1,490.0,59.09797974644661,39.0,0.6599210356652666,48.81407483429036,48.81407483429036,0.0,0.05263157894736842,0.864803544244059,7.5,500.0,47.0,499.0
lights_off,5,4,N9,sea,1,0,385.0,46.49137802864841,35.0,0.7528277604168385,-11.309932474020213,11.309932474020213,0.0,0.013157894736842105,0.887890454167104,8.5,800.0,44.0,799.0
lights_off,5,5,N6,predated,0,0,340.0,39.42031021678295,38.5,0.9766539072949473,-21.80140948635181,21.80140948635181,0.0,0.030303030303030304,0.9208647489191536,8.0,500.0,32.0,494.5
lights_off,5,6,N1,sea,1,0,365.0,40.97056274847712,35.0,0.8542718882059035,0.0,0.0,0.0,0.0,0.8720635048835725,8.0,0.0,43.5,1.5
lights_off,5,7,N9,sea,1,0,550.0,61.319805153394604,35.5,0.5789320417962018,-5.710593137499642,5.710593137499642,0.0,0.0673076923076923,0.8898445235217824,8.0,800.0,44.0,794.5
lights_off,5,8,N6,sea,1,0,450.0,51.78427124746187,38.505,0.7435655474612336,5.710593137499642,5.710593137499642,0.0,0.022988505747126436,0.680365172962329,8.0,499.5,46.5,501.5
lights_off,5,9,N5,sea,1,1,510.0,60.562445840513874,39.0,0.6439634241771416,36.86989764584402,36.86989764584402,0.0,0.03,0.9017971328090827,8.5,400.0,47.5,402.5
lights_off,5,10,N6,sea,1,0,455.0,53.07716446627531,39.0,0.7347792669817582,16.69924423399362,16.69924423399362,0.0,0.03333333333333333,0.7193840581575542,7.5,500.0,46.5,502.5
lights_off,5,11,N8,sea,1,0,430.0,49.748737341529136,38.0,0.7638384817513438,-5.710593137499642,5.710593137499642,0.0,0.0,0.6403153467177543,7.5,700.0,45.5,710.0
lights_off,5,12,N1,sea,1,1,360.0,40.97056274847713,35.0,0.8542718882059033,33.690067525979785,33.690067525979785,0.0,0.0,0.9318524131836116,8.0,0.0,43.5,1.5
lights_off,5,13,N1,sea,1,0,355.0,41.7132034355964,35.0,0.8390628654075603,11.309932474020213,11.309932474020213,0.0,0.0,0.8605034218785682,8.0,0.0,43.5,0.0
lights_off,5,14,N9,sea,1,0,515.0,63.21930009000624,35.5,0.561537377817504,0.0,0.0,0.0,0.0784313725490196,0.7575111835514041,8.0,800.0,44.0,794.5
lights_off,5,15,N2,sea,1,0,460.0,52.04163056034259,36.5,0.7013615754732747,21.80140948635181,21.80140948635181,0.0,0.03333333333333333,0.9472609187396855,8.0,100.0,45.0,107.0
lights_off,5,16,N1,sea,1,0,355.0,40.47056274847712,34.5,0.8524714670862393,21.80140948635181,21.80140948635181,0.0,0.0,0.8949007745394493,8.5,0.0,43.5,7.5
lights_off,5,17,N6,sea,1,0,465.0,54.49137802864841,38.4875,0.7063043988310499,-16.69924423399362,16.69924423399362,0.0,0.010869565217391304,0.6836033611940472,8.0,500.5,47.0,491.0
lights_off,5,18,N4,sea,1,1,420.0,49.57716446627532,37.0,0.7463113390675885,36.86989764584402,36.86989764584402,0.0,0.012048192771084338,0.7070387912970431,8.0,300.0,45.0,300.0
lights_off,5,19,N5,sea,1,0,450.0,53.819805153394604,39.495,0.7338376623147048,21.80140948635181,21.80140948635181,0.0,0.0,0.7979670767751448,8.0,400.5,47.5,397.0
lights_off,5,20,N8,sea,1,0,455.0,54.3198051533946,37.49,0.690171842371882,0.0,0.0,0.0,0.03333333333333333,0.7728189149451763,8.0,700.5,45.5,704.5
lights_off,5,21,N1,sea,1,0,385.0,45.54163056034259,35.5,0.7795065649430921,0.0,0.0,0.0,0.0,0.8184052499697638,7.5,0.0,43.5,3.5
lights_off,5,22,N3,sea,1,0,415.0,49.99137802864841,37.995,0.7600310593203955,0.0,0.0,0.0,0.0,0.7701432911129346,8.0,200.5,46.0,195.5
lights_off,5,23,N4,sea,1,0,390.0,44.7132034355964,36.5,0.8163136880267042,5.710593137499642,5.710593137499642,0.0,0.0,0.8582640475577304,8.5,300.0,45.5,300.5
lights_off,5,24,N6,sea,1,0,430.0,49.42031021678294,38.505,0.779133110073515,0.0,0.0,0.0,0.0,0.7721192537908921,8.0,499.5,47.0,498.0
lights_off,5,25,N8,sea,1,1,420.0,50.8198051533946,36.9925,0.7279150301411382,45.0,45.0,0.0,0.03614457831325301,0.9156033062228047,8.5,699.5,45.5,719.5
lights_off,5,26,N9,sea,1,0,510.0,62.21930009000625,35.5,0.5705625095210941,-5.710593137499642,5.710593137499642,0.0,0.08,0.9050939027817788,8.0,800.0,44.0,797.5
lights_off,5,27,N3,sea,1,0,460.0,53.49137802864841,37.5,0.7010475591022557,16.69924423399362,16.69924423399362,0.0,0.022222222222222223,0.720600281784595,8.5,200.0,46.0,199.0
lights_off,5,28,N2,sea,1,0,410.0,46.17766952966367,36.5075,0.7905877531681903,-16.69924423399362,16.69924423399362,0.0,0.0,0.8545636834212623,8.0,100.5,45.0,107.0
lights_off,5,29,N2,sea,1,0,415.0,48.16295090390222,37.0,0.768225353837325,5.710593137499642,5.710593137499642,0.0,0.024691358024691357,0.8058554187682687,7.5,100.0,45.0,103.5
lights_off,6,0,N5,sea,1,1,415.0,50.11269837220805,39.0,0.778245859169878,41.18592516570965,41.18592516570965,0.0,0.0,0.8222208380014231,8.5,400.0,47.5,397.0
lights_off,6,1,N7,sea,1,0,450.0,52.16295090390223,36.0,0.6901450047625066,-16.69924423399362,16.69924423399362,0.0,0.02247191011235955,0.7920667547094217,8.0,600.0,44.5,600.5
lights_off,6,2,N1,sea,1,0,395.0,44.920310216782944,35.0075,0.7793245378550534,21.80140948635181,21.80140948635181,0.0,0.012987012987012988,0.7696533275318563,8.0,0.5,43.5,7.0
lights_off,6,3,N1,sea,1,0,380.0,41.935028842544384,35.0,0.8346244408562662,5.710593137499642,5.710593137499642,0.0,0.0,0.8659011687604572,8.0,0.0,43.5,1.0
lights_off,6,4,N9,sea,1,1,430.0,48.92031021678295,35.5,0.7256699690310041,-36.86989764584402,36.86989764584402,0.0,0.011764705882352941,0.745324362623588,8.0,800.0,44.0,798.0
lights_off,6,5,N8,sea,1,0,530.0,63.476659402886966,36.9925,0.5827732641884672,16.69924423399362,16.69924423399362,0.0,0.05714285714285714,0.7812998684892694,8.5,699.5,45.5,691.5
lights_off,6,6,N8,sea,1,0,415.0,48.16295090390223,37.49,0.7783991490638194,16.69924423399362,16.69924423399362,0.0,0.012345679012345678,0.791149409519444,8.0,700.5,45.5,702.0
lights_off,6,7,N1,sea,1,0,355.0,41.920310216782944,34.5075,0.8231690037967515,21.80140948635181,21.80140948635181,0.0,0.0,0.9001378043331212,8.5,0.5,43.5,0.5
lights_off,6,8,N6,sea,1,0,455.0,53.4055915910215,39.0,0.7302606120097104,-5.710593137499642,5.710593137499642,0.0,0.011235955056179775,0.8691180723048583,7.5,500.0,47.0,497.5
lights_off,6,9,N3,sea,1,0,440.0,51.28427124746187,37.9925,0.740821680329138,-29.054604099077146,29.054604099077146,0.0,0.011627906976744186,0.9337398096059069,8.0,199.5,46.0,202.5
lights_off,6,10,N3,sea,1,0,490.0,59.355339059327335,37.9925,0.6400856368123081,-16.69924423399362,16.69924423399362,0.0,0.061224489795918366,0.638945789851829,8.0,199.5,46.0,210.5
lights_off,6,11,N9,sea,1,0,425.0,50.69848480983496,35.5,0.7002181649640421,-5.710593137499642,5.710593137499642,0.0,0.023809523809523808,0.7697867219397363,8.0,800.0,44.0,794.0
lights_off,6,12,N1,sea,1,0,350.0,37.89949493661166,35.0,0.9234951562953233,0.0,0.0,0.0,0.0,0.8595022726724338,8.0,0.0,43.0,0.0
lights_off,6,13,N2,sea,1,0,415.0,49.16295090390223,36.5,0.7424289903050322,5.710593137499642,5.710593137499642,0.0,0.012048192771084338,0.8466106704779556,8.0,100.0,45.0,107.0
lights_off,6,14,N1,sea,1,0,365.0,43.95584412271568,35.0,0.7962536199347507,0.0,0.0,0.0,0.0,0.8026898864012642,8.0,0.0,43.5,3.0
lights_off,6,15,N8,sea,1,0,445.0,54.355339059327335,37.5,0.6899046284868133,-5.710593137499642,5.710593137499642,0.0,0.022727272727272728,0.8790560135285619,8.0,700.0,45.5,695.5
lights_off,6,16,N1,sea,1,1,390.0,44.92031021678295,35.5,0.7902883980248344,41.18592516570965,41.18592516570965,0.0,0.0,0.8726309770794981,7.5,0.0,43.5,3.0
lights_off,6,17,N3,sea,1,0,440.0,52.61269837220806,37.5,0.7127556875092509,-26.56505117707799,26.56505117707799,0.0,0.0,0.932748344272306,8.5,200.0,46.0,204.0
lights_off,6,18,N2,sea,1,0,385.0,44.09188309203677,37.0,0.8391567201329716,0.0,0.0,0.0,0.0,0.9605895595181221,7.5,100.0,44.5,98.0
lights_off,6,19,N4,sea,1,0,430.0,51.40559159102151,37.0,0.7197660576376367,5.710593137499642,5.710593137499642,0.0,0.011764705882352941,0.8604993527404254,8.0,300.0,45.5,310.5
lights_off,6,20,N5,sea,1,0,460.0,51.71320343559639,39.9875,0.773255132991334,-16.69924423399362,16.69924423399362,0.0,0.0,0.7905717994020209,7.5,399.5,47.5,401.0
lights_off,6,21,N5,sea,1,0,465.0,54.28427124746187,39.5,0.7276509215705254,11.309932474020213,11.309932474020213,0.0,0.0,0.8009076098636786,8.0,400.0,47.5,402.5
lights_off,6,22,N7,sea,1,0,400.0,45.748737341529136,36.0075,0.7870709027703291,16.69924423399362,16.69924423399362,0.0,0.0,0.7484102561623204,8.0,600.5,44.5,607.0
lights_off,6,23,N4,sea,1,0,415.0,50.819805153394604,37.0,0.728062610400003,5.710593137499642,5.710593137499642,0.0,0.0,0.6476683175826199,8.0,300.0,45.5,312.5
lights_off,6,24,N2,sea,1,0,400.0,46.834523779156044,36.5,0.77933962074884,0.0,0.0,0.0,0.0,0.9246308165938375,8.0,100.0,44.5,99.0
lights_off,6,25,N1,sea,1,1,375.0,43.748737341529136,35.0,0.8000230892784129,36.86989764584402,36.86989764584402,0.0,0.0,0.8892365091878509,8.0,0.0,43.5,8.5
lights_off,6,26,N6,sea,1,0,480.0,53.19848480983495,37.9875,0.7140710893513482,16.69924423399362,16.69924423399362,0.0,0.02247191011235955,0.8581044200006538,8.5,500.5,46.5,510.0
lights_off,6,27,N5,sea,1,1,450.0,53.491378028648406,39.5,0.7384367622543762,-48.81407483429036,48.81407483429036,0.0,0.022222222222222223,0.8386105441438712,8.0,400.0,47.5,401.0
lights_off,6,28,N8,sea,1,0,425.0,49.45584412271568,37.0,0.7481421186177963,16.69924423399362,16.69924423399362,0.0,0.011904761904761904,0.673575345960761,8.5,700.0,45.5,708.0
lights_off,6,29,N5,sea,1,0,440.0,49.506096654409845,39.5,0.797881527112509,-11.309932474020213,11.309932474020213,0.0,0.0,0.8972518387185957,8.0,400.0,47.5,406.5
lights_off,7,0,N7,predated,0,1,35.0,3.914213562373095,36.5,9.324989405501654,36.86989764584402,36.86989764584402,0.0,0.0,0.9605386465816873,7.5,600.0,9.5,601.5
lights_off,7,1,N2,predated,0,0,70.0,7.9497474683058345,36.5,4.591340812462121,-5.710593137499642,5.710593137499642,0.0,0.0,0.9843790974806182,8.0,100.0,14.5,98.5
lights_off,7,2,N5,sea,1,0,405.0,49.405591591021505,38.9875,0.7891313259182835,29.054604099077146,29.054604099077146,0.0,0.0,1.0318201493764352,8.5,399.5,47.5,399.5
lights_off,7,3,N7,sea,1,0,400.0,48.07716446627533,35.5,0.7383962925871423,0.0,0.0,0.0,0.0125,0.9149974623936685,8.5,600.0,44.5,593.5
lights_off,7,4,N8,sea,1,0,520.0,60.44112549695424,37.5,0.6204384794569999,-11.309932474020213,11.309932474020213,0.0,0.07920792079207921,0.6723378350317629,8.0,700.0,45.5,708.0
lights_off,7,5,N7,sea,1,0,460.0,54.198484809834966,36.0,0.6642252108396094,0.0,0.0,0.0,0.03296703296703297,0.786333504995204,8.0,600.0,44.5,605.0
lights_off,7,6,N2,sea,1,0,380.0,44.83452377915604,36.9925,0.82508961581071,5.710593137499642,5.710593137499642,0.0,0.0,0.7516250771017354,7.5,99.5,45.0,102.5
lights_off,7,7,N3,sea,1,0,385.0,42.84924240491749,38.495,0.8983822779462306,-5.710593137499642,5.710593137499642,0.0,0.0,0.6569430064207857,7.5,200.5,46.0,197.0
lights_off,7,8,N3,sea,1,0,425.0,47.54163056034258,37.995,0.7991942967074835,16.69924423399362,16.69924423399362,0.0,0.0,0.9393921543523379,8.0,200.5,46.0,199.0
lights_off,7,9,N8,sea,1,0,480.0,56.405591591021505,37.5,0.6648277048825272,16.69924423399362,16.69924423399362,0.0,0.031578947368421054,0.7113690861219186,8.0,700.0,45.5,706.5
lights_off,7,10,N3,sea,1,0,395.0,45.920310216782944,37.4925,0.8164687874059102,5.710593137499642,5.710593137499642,0.0,0.0,0.7795985426915265,8.5,199.5,46.0,199.0
lights_off,7,11,N4,sea,1,1,610.0,73.25483399593904,37.505,0.5119798647291881,-5.710593137499642,5.710593137499642,0.0,0.10833333333333334,0.7486118922685346,7.5,299.5,45.5,302.5
lights_off,7,12,N1,sea,1,0,355.0,40.47056274847713,35.0075,0.8650114459136673,29.054604099077146,29.054604099077146,0.0,0.0,0.839640450826588,8.0,0.5,43.5,0.5
lights_off,7,13,N7,sea,1,1,440.0,51.370057685088774,36.5,0.7105306407042421,-53.13010235415598,53.13010235415598,0.0,0.0,0.9424654866844812,7.5,600.0,44.5,589.5
lights_off,7,14,N7,sea,1,0,395.0,46.955844122715675,36.0,0.766677730378281,11.309932474020213,11.309932474020213,0.0,0.0,0.9588409243551119,8.0,600.0,44.5,605.0
lights_off,7,15,N3,sea,1,0,395.0,47.284271247461874,38.0,0.8036499029693678,5.710593137499642,5.710593137499642,0.0,0.0,0.8960046255495872,8.0,200.0,46.0,195.0
lights_off,7,16,N8,sea,1,0,455.0,53.78427124746186,37.9925,0.7063868138176718,-11.309932474020213,11.309932474020213,0.0,0.01098901098901099,0.9197733287261921,7.5,699.5,45.5,700.0
lights_off,7,17,N2,sea,1,0,400.0,45.798989873223306,37.0,0.8078780798969609,-5.710593137499642,5.710593137499642,0.0,0.0,0.907911692691107,7.5,100.0,44.5,100.0
lights_off,7,18,N1,sea,1,0,380.0,42.76345596729058,35.0,0.8184558335689991,5.710593137499642,5.710593137499642,0.0,0.0,0.8325168014369855,8.0,0.0,43.5,1.0
lights_off,7,19,N9,sea,1,0,420.0,49.40559159102151,35.01,0.7086242441910638,-11.309932474020213,11.309932474020213,0.0,0.012345679012345678,0.8774947382292111,8.5,799.5,44.0,797.0
lights_off,7,20,N3,sea,1,0,425.0,48.66295090390222,37.485,0.7702985393143128,5.710593137499642,5.710593137499642,0.0,0.012195121951219513,0.7415017167155692,8.5,199.0,46.0,192.0
lights_off,7,21,N6,sea,1,0,440.0,49.62741699796948,38.4875,0.7755289782979179,16.69924423399362,16.69924423399362,0.0,0.011627906976744186,0.77798426238176,8.0,500.5,46.5,504.0
lights_off,7,22,N7,sea,1,0,395.0,45.420310216782944,36.0125,0.7928721716808811,-16.69924423399362,16.69924423399362,0.0,0.0,0.8288129556847759,8.0,599.5,44.5,602.5
lights_off,7,23,N5,sea,1,0,555.0,63.64823227814078,39.5,0.6205985396010094,21.80140948635181,21.80140948635181,0.0,0.028037383177570093,0.6038446505124099,8.0,400.0,47.5,407.5
lights_off,7,24,N2,sea,1,0,420.0,49.04163056034259,36.5075,0.744418559963659,11.309932474020213,11.309932474020213,0.0,0.023809523809523808,0.8850838908223067,8.0,100.5,44.5,95.0
lights_off,7,25,N5,sea,1,1,575.0,68.01219330881973,39.495,0.5807046954164076,-53.13010235415598,53.13010235415598,0.0,0.09821428571428571,0.9131380275938983,8.0,400.5,47.5,390.0
lights_off,7,26,N6,sea,1,0,450.0,53.4055915910215,38.505,0.7209919196265102,-29.054604099077146,29.054604099077146,0.0,0.011235955056179775,0.8495992057148185,8.0,499.5,47.0,491.5
lights_off,7,27,N4,sea,1,0,460.0,52.248737341529136,36.5,0.6985814750204214,0.0,0.0,0.0,0.05555555555555555,0.8247825057525656,8.5,300.0,45.5,301.5
lights_off,7,28,N9,sea,1,0,425.0,49.248737341529136,35.5,0.7208306632069635,0.0,0.0,0.0,0.011904761904761904,0.8159066279591558,8.0,800.0,44.0,787.5
lights_off,7,29,N1,sea,1,0,365.0,39.5208152801713,35.0,0.8856092606358877,5.710593137499642,5.710593137499642,0.0,0.0,0.8879838113555996,8.0,0.0,43.5,3.0
shielded_70pct,0,0,N2,sea,1,0,395.0,47.16295090390222,36.515,0.7742306047473968,-21.80140948635181,21.80140948635181,0.0,0.0,0.860581119128782,8.0,101.0,44.5,98.5
shielded_70pct,0,1,N4,sea,1,0,405.0,46.54163056034258,37.505,0.8058376887198586,-11.309932474020213,11.309932474020213,0.0,0.0,0.8971924593642416,7.5,299.5,45.5,296.0
shielded_70pct,0,2,N6,sea,1,0,440.0,51.248737341529136,38.4875,0.7509941121771182,-11.309932474020213,11.309932474020213,0.0,0.022727272727272728,0.8061273024592562,8.0,500.5,47.0,498.0
shielded_70pct,0,3,N8,sea,1,0,565.0,66.68376618407352,37.5,0.5623557598184421,-16.69924423399362,16.69924423399362,0.0,0.08108108108108109,0.7648300735347389,8.0,700.0,45.5,687.0
shielded_70pct,0,4,N6,sea,1,1,665.0,75.06244584051392,39.005,0.5196340135635121,21.80140948635181,21.80140948635181,0.0,0.08527131782945736,0.6738481391834991,7.5,499.5,47.0,494.0
shielded_70pct,0,5,N3,sea,1,0,520.0,60.23401871576769,37.4925,0.6224472615204312,-5.710593137499642,5.710593137499642,0.0,0.0297029702970297,0.71852019214399,8.5,199.5,46.0,204.0
shielded_70pct,0,6,N8,sea,1,0,445.0,54.76955262170043,38.0,0.6938161474947651,-16.69924423399362,16.69924423399362,0.0,0.011363636363636364,0.7887495440655758,7.5,700.0,45.5,696.0
shielded_70pct,0,7,N9,sea,1,0,460.0,54.11269837220805,35.5,0.6560382510555522,-5.710593137499642,5.710593137499642,0.0,0.022222222222222223,0.9203521921681065,8.0,800.0,44.0,796.0
shielded_70pct,0,8,N4,sea,1,0,470.0,54.8198051533946,37.005,0.6750297615333379,0.0,0.0,0.0,0.03296703296703297,0.934744904123541,8.0,299.5,45.5,291.0
shielded_70pct,0,9,N8,predated,0,1,280.0,32.88477631085023,37.9925,1.155321831624091,33.690067525979785,33.690067525979785,0.0,0.01818181818181818,0.8142614167076675,7.5,699.5,29.5,692.0
shielded_70pct,0,10,N4,sea,1,0,485.0,54.28427124746186,37.0,0.6815970657749226,-11.309932474020213,11.309932474020213,0.0,0.010869565217391304,0.8949750688497646,8.0,300.0,45.5,303.5
shielded_70pct,0,11,N9,sea,1,1,485.0,57.02691193458114,35.5,0.6225131047026375,-41.18592516570965,41.18592516570965,0.0,0.05263157894736842,0.8439692143961522,8.0,800.0,44.0,786.5
shielded_70pct,0,12,N8,sea,1,1,435.0,51.698484809834966,37.0,0.7156882863414448,-48.81407483429036,48.81407483429036,0.0,0.023255813953488372,0.6964836231047827,8.5,700.0,45.5,686.0
