scenario,n_replicates,n_mean,n_sd,n_ci95_low,n_ci95_high,sea_arrival_rate_mean,sea_arrival_rate_sd,sea_arrival_rate_ci95_low,sea_arrival_rate_ci95_high,disorientation_rate_mean,disorientation_rate_sd,disorientation_rate_ci95_low,disorientation_rate_ci95_high,predation_rate_mean,predation_rate_sd,predation_rate_ci95_low,predation_rate_ci95_high,exhaustion_rate_mean,exhaustion_rate_sd,exhaustion_rate_ci95_low,exhaustion_rate_ci95_high,censored_rate_mean,censored_rate_sd,censored_rate_ci95_low,censored_rate_ci95_high,median_time_to_sea_s_mean,median_time_to_sea_s_sd,median_time_to_sea_s_ci95_low,median_time_to_sea_s_ci95_high,median_path_length_m_mean,median_path_length_m_sd,median_path_length_m_ci95_low,median_path_length_m_ci95_high,median_efficiency_mean,median_efficiency_sd,median_efficiency_ci95_low,median_efficiency_ci95_high,mean_abs_initial_heading_deg_mean,mean_abs_initial_heading_deg_sd,mean_abs_initial_heading_deg_ci95_low,mean_abs_initial_heading_deg_ci95_high,median_max_landward_m_mean,median_max_landward_m_sd,median_max_landward_m_ci95_low,median_max_landward_m_ci95_high
baseline,8,30.0,0.0,30.0,30.0,0.6625000000000001,0.08807914910997104,0.6014642636555345,0.7235357363444657,0.8958333333333333,0.051754916950676556,0.8599690056524747,0.9316976610141918,0.18333333333333335,0.05345224838248488,0.14629281497842908,0.22037385168823762,0.0,0.0,0.0,0.0,0.15416666666666667,0.056167267200406906,0.11524473625890469,0.19308859707442866,700.3125,73.57500424736651,649.327623259441,751.297376740559,86.82812267692537,8.051410244644089,81.24878003046476,92.40746532338599,0.425264538148486,0.042779937864188655,0.39561955366922924,0.4549095226277428,47.85832703249356,5.459607392528157,44.07501213081815,51.64164193416897,0.0,0.0,0.0,0.0
lights_off,8,30.0,0.0,30.0,30.0,0.9458333333333333,0.05019802057692384,0.9110478797962903,0.9806187868703763,0.17083333333333334,0.054736018726536426,0.13290320751697934,0.20876345914968733,0.05416666666666667,0.050198020576923845,0.019381213129623667,0.08895212020370967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.25,11.952286093343936,417.96748830366056,434.53251169633944,49.47989264214382,1.4408598493466025,48.481427707335655,50.47835757695198,0.7470796555689521,0.018830301094589216,0.734030922645099,0.7601283884928052,16.488924564913304,2.04871240305276,15.069239300671702,17.908609829154905,0.0,0.0,0.0,0.0
shielded_70pct,8,30.0,0.0,30.0,30.0,0.9125000000000001,0.024800793638094825,0.8953139268269011,0.929686073173099,0.37916666666666665,0.0733279218782595,0.32835300927244065,0.42998032406089265,0.08750000000000001,0.024800793638094835,0.07031392682690107,0.10468607317309894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.125,20.474287010087277,463.9370429589035,492.3129570410965,55.5108269775261,2.662087210155612,53.66609465748331,57.35555929756889,0.6667015399161421,0.027477812001219168,0.6476603876618756,0.6857426921704086,20.821912972941583,2.39606540359518,19.161524359793923,22.482301586089243,0.0,0.0,0.0,0.0
amber_proxy,8,30.0,0.0,30.0,30.0,0.9208333333333334,0.05019802057692384,0.8860478797962904,0.9556187868703764,0.4833333333333333,0.09258200997725514,0.4191772736039515,0.547489393062715,0.06666666666666667,0.05345224838248488,0.0296261483117624,0.10370718502157093,0.0,0.0,0.0,0.0,0.0125,0.017251638983558856,0.0005452241063804691,0.02445477589361953,515.9375,26.590059232728308,497.5115290282981,534.3634709717019,60.391569670778395,2.8642088013184965,58.40677423395482,62.37636510760197,0.6181083357175066,0.027819547085462446,0.598830373131711,0.6373862983033022,23.849772687294383,3.351659881939517,21.527190885159055,26.17235448942971,0.0,0.0,0.0,0.0
bright_moon_proxy,8,30.0,0.0,30.0,30.0,0.825,0.052704627669473,0.7884775563675034,0.8615224436324965,0.6208333333333332,0.058925565098878946,0.58,0.6616666666666665,0.12083333333333333,0.06886264220942652,0.07311395688215905,0.16855270978450762,0.0,0.0,0.0,0.0,0.05416666666666667,0.0469295317724453,0.021646160315545178,0.08668717301778817,531.25,44.05759217854998,500.71964625164,561.78035374836,64.53417879143592,4.712184048769825,61.26880184225338,67.79955574061846,0.5736404806880961,0.03828074345757112,0.5471132788661393,0.600167682510053,33.06661606547365,5.7837347770669725,29.0586923456541,37.074539785293204,0.0,0.0,0.0,0.0
combined_mitigation,8,30.0,0.0,30.0,30.0,0.95,0.04714045207910316,0.9173333333333333,0.9826666666666666,0.11666666666666667,0.05634361698190111,0.07762253209507647,0.15571080123825687,0.05,0.047140452079103175,0.01733333333333334,0.08266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.9375,10.345590848279281,413.76837130468425,428.10662869531575,49.086205775067356,0.6523652636229959,48.634139711383355,49.538271838751356,0.7643115789786963,0.011594744187057426,0.7562768311827205,0.7723463267746721,14.922326133580928,1.6386862828108286,13.786774474424274,16.05787779273758,0.0,0.0,0.0,0.0
